Flag URL,Teams,Team code
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/2560px-Flag_of_Argentina.svg.png,Argentina,ARG
https://imagepng.org/wp-content/uploads/2017/10/bandeira-australia.png,Australia,AUS
https://imagepng.org/wp-content/uploads/2017/04/bandeira-do-brasil.png,Brazil,BRA
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_Canada.png/1024px-Flag_of_Canada.png,Canada,CAN
https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/2560px-Flag_of_Chile.svg.png,Chile,CHI
https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_China.png/1024px-Flag_of_China.png,China PR,CHN
https://upload.wikimedia.org/wikipedia/commons/0/0b/Flag_of_Cameroon.png,Cameroon,CMR
https://www.picng.com/upload/england/png_england_83714.png,England,ENG
https://imagepng.org/wp-content/uploads/2017/09/bandeira-espanha.png,Spain,ESP
https://imagepng.org/wp-content/uploads/2017/10/bandeira-fran%C3%A7a.png,France,FRA
https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Flag_of_Germany_%283-2_aspect_ratio%29.svg/2560px-Flag_of_Germany_%283-2_aspect_ratio%29.svg.png,Germany,GER
https://imagepng.org/wp-content/uploads/2017/10/bandeira-italia.png,Italy,ITA
https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Jamaica.png,Jamaica,JAM
https://imagepng.org/wp-content/uploads/2017/08/bandeira-do-japao.png,Japan,JPN
https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_South_Korea.png/1024px-Flag_of_South_Korea.png,Korea Republic,KOR
https://upload.wikimedia.org/wikipedia/commons/b/b2/Flag_of_the_Netherlands.png,Netherlands,NED
https://upload.wikimedia.org/wikipedia/commons/b/b6/Flag_of_Nigeria.png,Nigeria,NGA
https://upload.wikimedia.org/wikipedia/commons/f/f1/Flag_of_Norway.png,Norway,NOR
https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/1280px-Flag_of_New_Zealand.svg.png,New Zealand,NZL
https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/1280px-Flag_of_South_Africa.svg.png,South Africa,RSA
https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Scotland_Pantone300.png,Scotland,SCO
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Sweden.svg/1280px-Flag_of_Sweden.svg.png,Sweden,SWE
https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/2560px-Flag_of_Thailand.svg.png,Thailand,THA
https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,USA,USA
https://upload.wikimedia.org/wikipedia/commons/9/90/Flag_of_Algeria.png,Algeria,ALG
https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Northern_Ireland_%281953%E2%80%931972%29.svg/1200px-Flag_of_Northern_Ireland_%281953%E2%80%931972%29.svg.png,Northen Ireland,NIR
https://imagepng.org/wp-content/uploads/2017/08/bandeira-russia.png,Russia,RUS
https://www.bandeirasnacionais.com/data/flags/ultra/si.png,Slovenia,SVN
https://imagepng.org/wp-content/uploads/2017/09/bandeira-angola.png,Angola,ANG
https://bandeira.net/wp-content/uploads/2018/10/bandeira-de-portugal.png,Portugal,POR
https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/1182px-Flag_of_Belgium.svg.png,Belgium,BEL
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Flag_of_Bulgaria.png/1200px-Flag_of_Bulgaria.png,Bulgaria,BUL
https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Flag_of_Croatia.png/640px-Flag_of_Croatia.png,Croatia,CRO
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/1280px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,Côte d'Ivoire,CIV
https://bandeira.net/wp-content/uploads/2018/08/bandeira-de-el-salvador.png,El Salvador,SLV
https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_DR_Germany.svg/1200px-Flag_of_DR_Germany.svg.png,Germany DR,GDR
https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Flag_of_Germany_%283-2_aspect_ratio%29.svg/2560px-Flag_of_Germany_%283-2_aspect_ratio%29.svg.png,Germany,FRG
https://www.bandeirasnacionais.com/data/flags/big/gr.png,Greece,GRE
https://bandeira.net/wp-content/uploads/2018/10/bandeira-do-haiti.png,Haiti,HAI
https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Hungary.png,Hungary,HUN
https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/2560px-Flag_of_Iran.svg.png,Iran,IRN
https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Mexico.png,Mexico,MEX
https://upload.wikimedia.org/wikipedia/commons/2/2d/Flag_of_Peru.png,Peru,PER
https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_Poland.svg/2560px-Flag_of_Poland.svg.png,Poland,POL
https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/2560px-Flag_of_Bosnia_and_Herzegovina.svg.png,Bosnia and Herzegovina,BIH
https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Flag_of_Serbia_and_Montenegro_%28with_coat_of_arms%29.svg/640px-Flag_of_Serbia_and_Montenegro_%28with_coat_of_arms%29.svg.png,Serbia and montenegro,SCG
https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/2560px-Flag_of_Romania.svg.png,Romania,ROU
https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_the_Soviet_Union.png,Soviet Union,URS
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Bandera_de_Suiza.png/640px-Bandera_de_Suiza.png,Switzerland,SUI
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/1280px-Flag_of_Uruguay.svg.png,Uruguay,URU
https://upload.wikimedia.org/wikipedia/commons/7/76/Flag_of_Austria.png,Austria,AUT
https://www.bandeirasnacionais.com/data/flags/ultra/gh.png,Ghana,GHA
https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_Colombia.png,Colombia,COL
https://upload.wikimedia.org/wikipedia/commons/9/96/Flag_of_Ecuador.png,Ecuador,ECU
https://upload.wikimedia.org/wikipedia/commons/d/d7/Flag_of_Trinidad_and_Tobago.png,Trindade and Tobago,TRI
https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,Paraguay,PAR
https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Togo.svg/1200px-Flag_of_Togo.svg.png,Togo,TOG
https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/255px-Flag_of_Tunisia.svg.png,Tunisia,TUN
https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_Bolivia_%28state%29.svg,Bolivia,BOL
https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/1200px-Flag_of_Costa_Rica.svg.png,Costa Rica,CRC
https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/1200px-Flag_of_Cuba.svg.png,Cuba,CUB
https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/2560px-Flag_of_the_Czech_Republic.svg.png,Czech Republic,CZE
https://ae01.alicdn.com/kf/HTB1mjzLMpXXXXcPXXXXq6xXFXXXr/150-90-cm-poli-ster-voador-bandeira-dinamarca-bandeiras-s-o-de-presente-para-amigos-Costumized.jpg_640x640.jpg,Denmark,DEN
https://1.bp.blogspot.com/-I2jl1f6h3D8/X3PRnrI-pWI/AAAAAAAARjA/BekytTLyjMkTAa7EZE1I7gMLZrjC-uC9ACLcBGAsYHQ/w1200-h630-p-k-no-nu/IMAGEM%2B2650%2B-%2BBANDEIRA%2BDO%2BEGITO%2B-%2BO%2BBLOG%2BDO%2BMESTRE.jpg,Egypt,EGY
https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Honduras.svg/1200px-Flag_of_Honduras.svg.png,Uonduras,HON
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_the_Dutch_East_Indies_Company.svg/1280px-Flag_of_the_Dutch_East_Indies_Company.svg.png,Dutch East Indies,INH
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Republic of Ireland,IRL
https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/1200px-Flag_of_Iraq.svg.png,Iraq,IRQ
https://s5.static.brasilescola.uol.com.br/be/2021/05/bandeira-israel.jpg,Israel,ISR
https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/800px-Flag_of_Saudi_Arabia.svg.png,Saudi Arabia,KSA
https://www.bandeirasnacionais.com/data/flags/ultra/kw.png,Kuwait,KUW
https://static3.depositphotos.com/1000209/137/v/600/depositphotos_1378048-stock-illustration-morocco-flag.jpg,Morocco,MAR
https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg,Korea DPR,PRK
https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,Senegal,SEN
https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/800px-Flag_of_Serbia.svg.png,Serbia,SRB
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/1200px-Flag_of_Slovakia.svg.png,Slovakia,SVK
https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/1200px-Flag_of_the_Czech_Republic.svg.png,Czechoslovakia,TCH
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/1280px-Flag_of_Turkey.svg.png,Turkey,TUR
https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/1200px-Flag_of_the_United_Arab_Emirates.svg.png,Emirados àrabes unidos,UAE
https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/290px-Flag_of_Ukraine.svg.png,Ukraine,UKR
https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_Wales_%281959%29.svg,Wales,WAL
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Flag_of_Yugoslavia_%281918%E2%80%931941%29.svg/2560px-Flag_of_Yugoslavia_%281918%E2%80%931941%29.svg.png,Yugoslavia,YUG
https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_Zaire_%281971%E2%80%931997%29.svg/2560px-Flag_of_Zaire_%281971%E2%80%931997%29.svg.png,Zaire,ZAI
